[00:11:16.411] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'cr_weight': 0.1,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_runs/vema',
 'gpu_id': 0,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet',
 'model2': 'unet',
 'num_classes': 4,
 'p_cm': 0.3,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
[00:11:16.905] Total silices is: 1312, labeled slices is: 68
[00:11:16.905] 103 iterations per epoch
[00:11:39.839] iteration:67  t-loss1/2:0.1875/0.2395, loss-lb1/2:0.1832/0.2344, loss-ulb1/2:0.3196/0.3787, weight:0.01, lr:0.0010
[00:11:40.037] iteration:68  t-loss1/2:0.1680/0.2471, loss-lb1/2:0.1625/0.2422, loss-ulb1/2:0.4069/0.3683, weight:0.01, lr:0.0010
[00:11:40.372] iteration:69  t-loss1/2:0.1604/0.2789, loss-lb1/2:0.1523/0.2721, loss-ulb1/2:0.6012/0.5045, weight:0.01, lr:0.0010
[00:11:40.707] iteration:70  t-loss1/2:0.1609/0.2663, loss-lb1/2:0.1536/0.2605, loss-ulb1/2:0.5418/0.4328, weight:0.01, lr:0.0010
[00:11:40.899] iteration:71  t-loss1/2:0.1624/0.2473, loss-lb1/2:0.1563/0.2416, loss-ulb1/2:0.4506/0.4187, weight:0.01, lr:0.0010
[00:11:41.235] iteration:72  t-loss1/2:0.1726/0.2689, loss-lb1/2:0.1645/0.2614, loss-ulb1/2:0.6061/0.5510, weight:0.01, lr:0.0010
[00:11:41.431] iteration:73  t-loss1/2:0.1591/0.3027, loss-lb1/2:0.1520/0.2967, loss-ulb1/2:0.5276/0.4483, weight:0.01, lr:0.0010
[00:11:41.622] iteration:74  t-loss1/2:0.1612/0.2445, loss-lb1/2:0.1564/0.2370, loss-ulb1/2:0.3572/0.5620, weight:0.01, lr:0.0010
[00:11:41.957] iteration:75  t-loss1/2:0.1455/0.2420, loss-lb1/2:0.1386/0.2357, loss-ulb1/2:0.5168/0.4609, weight:0.01, lr:0.0010
[00:11:42.151] iteration:76  t-loss1/2:0.1293/0.2365, loss-lb1/2:0.1254/0.2307, loss-ulb1/2:0.2889/0.4318, weight:0.01, lr:0.0010
